Sujeto,Genero original,Genero,Edad,Estrato,Nivel educativo ,NivelEd,Tuvo accidente?,Accidente
1,Masculino,0,21,2,Pregrado,4,1,1
2,Femenino,1,72,3,Pregrado,4,1,1
3,Masculino,0,47,1,Primaria,0,1,1
4,Masculino,0,43,2,Tecnol¢gico,3,1,1
5,Masculino,0,33,3,Pregrado,4,1,0
6,Masculino,0,68,4,Maestr¡a,5,1,0
7,Masculino,0,74,2,Bachillerato,1,0,1
8,Masculino,0,24,2,Bachillerato,1,1,1
9,Femenino,1,24,3,Pregrado,4,0,1
10,Femenino,1,40,3,Pregrado,4,0,1
11,Femenino,1,36,3,Pregrado,4,0,1
12,Femenino,1,37,2,Bachillerato,1,1,0
13,Femenino,1,36,2,Tecnol¢gico,3,1,1
14,Masculino,0,53,1,Primaria,0,1,1
15,Femenino,1,46,3,Bachillerato,1,1,1
16,Masculino,0,76,2,Primaria,0,1,1
17,Masculino,0,19,2,Bachillerato,1,1,1
18,Femenino,1,38,3,Maestr¡a,5,0,1
19,Masculino,0,46,2,Bachillerato,1,1,1
20,Masculino,0,39,2,Bachillerato,1,1,1
21,Masculino,0,16,3,Bachillerato,1,1,1
22,Femenino,1,38,3,Tecnol¢gico,3,0,1
23,Femenino,1,38,3,Tecnol¢gico,3,1,0
24,Femenino,1,42,2,Bachillerato,1,1,0
25,Masculino,0,44,2,Bachillerato,1,1,0
26,Masculino,0,82,2,Bachillerato,1,1,0
27,Femenino,1,54,2,Bachillerato,1,1,0
28,Femenino,1,33,3,Tecnol¢gico,3,1,0
29,Masculino,0,49,4,Pregrado,4,1,0
30,Masculino,0,56,5,Pregrado,4,1,0
31,Masculino,0,21,3,Pregrado,4,1,0
32,Masculino,0,47,3,Tecnol¢gico,3,1,1
33,Masculino,0,48,3,Tecnol¢gico,3,1,0
34,Masculino,0,37,3,Pregrado,4,1,0
35,Masculino,0,39,4,Maestr¡a,5,0,1
36,Masculino,0,36,2,Bachillerato,1,1,1
37,Femenino,1,28,3,Pregrado,4,1,1
38,Masculino,0,48,3,Pregrado,4,1,1
39,Masculino,0,43,4,Maestr¡a,5,1,0
40,Masculino,0,21,2,Bachillerato,1,0,1
41,Masculino,0,67,2,Bachillerato,1,1,0
42,Masculino,0,53,3,Tecnol¢gico,3,1,0
43,Masculino,0,45,2,Bachillerato,1,1,1
44,Femenino,1,46,2,Bachillerato,1,1,0
45,Masculino,0,45,2,Bachillerato,1,1,0
46,Masculino,0,56,3,Bachillerato,1,0,1
47,Femenino,1,31,3,Tecnol¢gico,3,1,0
48,Femenino,1,27,3,Pregrado,4,1,1
49,Masculino,0,56,2,Bachillerato,1,1,1
50,Masculino,0,58,1,Primaria,0,1,1
51,Masculino,0,52,3,Bachillerato,1,1,0
52,Femenino,1,47,3,Bachillerato,1,1,0
53,Masculino,0,31,3,Pregrado,4,1,0
54,Masculino,0,28,3,Pregrado,4,1,1
55,Masculino,0,55,2,Tecnol¢gico,3,1,0
56,Masculino,0,33,3,Tecnol¢gico,3,1,0
57,Femenino,1,38,3,Pregrado,4,1,0
58,Masculino,0,25,3,Tecnol¢gico,3,1,0
59,Masculino,0,29,2,Pregrado,4,0,1
60,Masculino,0,42,3,Tecnol¢gico,3,0,0
61,Femenino,1,34,3,Tecnol¢gico,3,1,0
62,Masculino,0,35,4,Pregrado,4,1,1
63,Masculino,0,31,3,Bachillerato,1,1,0
64,Masculino,0,43,3,Tecnol¢gico,3,0,0
65,Masculino,0,70,4,Primaria,0,1,1
66,Femenino,1,59,3,Bachillerato,1,1,0
67,Masculino,0,37,2,Tecnol¢gico,3,1,0
68,Femenino,1,32,3,Tecnol¢gico,3,1,1
69,Masculino,0,50,2,Bachillerato,1,1,0
70,Masculino,0,51,2,Bachillerato,1,1,1
71,Masculino,0,66,2,Bachillerato,1,1,0
72,Masculino,0,61,2,Bachillerato,1,1,0
73,Masculino,0,60,2,Bachillerato,1,1,0
74,Masculino,0,39,3,Doctorado,6,1,0
75,Masculino,0,40,3,Pregrado,4,1,1
76,Masculino,0,59,1,Primaria,0,1,1
77,Masculino,0,43,3,Bachillerato,1,1,1
